Title,Runtime,User Rating,Metascore,Votes,Imdb Gross,Genre
Harry Potter and the Order of the Phoenix,138 min,7.5,71        ,537877,"292,004,738",Action
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",143 min,6.9,75        ,380036,"291,709,845",Adventure
Man of Steel,143 min,7.0,55        ,732815,"291,045,518",Action
Harry Potter and the Goblet of Fire,157 min,7.7,81        ,577166,"290,013,036",Adventure
"Monsters, Inc.",92 min,8.1,79        ,854476,"289,916,256",Animation
The Hunger Games: Mockingjay - Part 2,137 min,6.6,65        ,304299,"281,723,902",Action
The Matrix Reloaded,138 min,7.2,62        ,545842,"281,492,479",Action
The Twilight Saga: Breaking Dawn - Part 1,117 min,4.9,45        ,232041,"281,287,133",Adventure
Meet the Fockers,115 min,6.3,41        ,261944,"279,261,160",Comedy
The Hangover,100 min,7.7,73        ,745853,"277,322,503",Comedy            
Gravity,91 min,7.7,96        ,794023,"274,092,705",Adventure
The Grinch,85 min,6.3,51        ,60107,"270,620,950",Animation
Sing,108 min,7.1,59        ,143759,"270,395,425",Animation
Monsters University,104 min,7.2,65        ,338996,"268,492,764",Animation
Shrek,90 min,7.9,84        ,640944,"267,665,011",Animation
Despicable Me 3,89 min,6.3,49        ,122934,"264,624,300",Animation
The Amazing Spider-Man,136 min,6.9,66        ,584387,"262,030,663",Action
Harry Potter and the Chamber of Secrets,161 min,7.4,63        ,585253,"261,988,482",Adventure
The Incredibles,115 min,8.0,90        ,683681,"261,441,092",Animation
How the Grinch Stole Christmas,104 min,6.2,46        ,223158,"260,044,825",Comedy
Captain America: The Winter Soldier,136 min,7.7,70        ,781667,"259,766,572",Action
The Hobbit: The Desolation of Smaug,161 min,7.8,66        ,624182,"258,366,855",Adventure
The Lego Movie,100 min,7.7,83        ,336188,"257,760,692",Animation
Star Trek,127 min,7.9,82        ,591143,"257,730,019",Action
I Am Legend,101 min,7.2,65        ,716219,"256,386,216",Action
The Blind Side,129 min,7.6,53        ,309700,"255,959,475",Biography
The Hobbit: The Battle of the Five Armies,144 min,7.4,59        ,496367,"255,119,788",Adventure
The Hangover Part II,102 min,6.5,44        ,479353,"254,464,305",Comedy            
Despicable Me,95 min,7.6,72        ,518940,"251,513,985",Animation
Night at the Museum,108 min,6.4,48        ,328789,"250,863,268",Adventure
Harry Potter and the Prisoner of Azkaban,142 min,7.9,82        ,583357,"249,358,727",Adventure
Moana,107 min,7.6,81        ,299255,"248,757,044",Animation
Transformers: Age of Extinction,165 min,5.6,32        ,305413,"245,439,076",Action
Cars,117 min,7.1,73        ,389557,"244,082,982",Animation
Bruce Almighty,101 min,6.8,46        ,385401,"242,829,261",Comedy
My Big Fat Greek Wedding,95 min,6.6,62        ,125403,"241,438,208",Comedy
Maleficent,97 min,7.0,56        ,358650,"241,410,378",Action
Pirates of the Caribbean: On Stranger Tides,136 min,6.6,45        ,499436,"241,063,875",Action
Furious 6,130 min,7.0,61        ,382514,"238,679,850",Action
Shrek Forever After,93 min,6.3,58        ,194054,"238,371,987",Animation
Brave,93 min,7.1,69        ,389697,"237,283,207",Animation
Oz the Great and Powerful,130 min,6.3,44        ,203336,"234,911,825",Adventure
X-Men: The Last Stand,104 min,6.7,58        ,497614,"234,362,462",Action
War of the Worlds,116 min,6.5,73        ,430440,"234,280,354",Action
Fantastic Beasts and Where to Find Them,132 min,7.3,66        ,430370,"234,037,575",Adventure
X-Men: Days of Future Past,132 min,7.9,75        ,681718,"233,921,534",Action
Cast Away,143 min,7.8,73        ,555107,"233,632,142",Adventure
Doctor Strange,115 min,7.5,72        ,649465,"232,641,920",Action
Justice League,120 min,6.1,45        ,427131,"229,024,295",Action
Star Trek Into Darkness,132 min,7.7,72        ,473128,"228,778,661",Action
The Martian,144 min,8.0,80        ,799427,"228,433,663",Adventure
Signs,106 min,6.7,59        ,349589,"227,966,634",Drama
Hancock,92 min,6.4,49        ,461238,"227,946,274",Action
The Bourne Ultimatum,115 min,8.0,85        ,617729,"227,471,070",Action
Logan,137 min,8.1,77        ,693013,"226,277,068",Action
Rush Hour 2,90 min,6.6,48        ,209225,"226,164,286",Action
The Fate of the Furious,136 min,6.6,56        ,220197,"226,008,385",Action
WALL·E,98 min,8.4,95        ,1047131,"223,808,164",Animation
Big Hero 6,102 min,7.8,74        ,431442,"222,527,828",Animation
Mission: Impossible - Fallout,147 min,7.7,86        ,309623,"220,159,104",Action
National Treasure: Book of Secrets,124 min,6.5,48        ,227013,"219,964,115",Action
Alvin and the Chipmunks: The Squeakquel,88 min,4.5,41        ,46474,"219,614,612",Animation
Ted,106 min,6.9,62        ,588159,"218,815,487",Comedy            
King Kong,187 min,7.2,81        ,408218,"218,080,025",Action
How to Train Your Dragon,98 min,8.1,75        ,696649,"217,581,231",Animation
The Da Vinci Code,149 min,6.6,46        ,416377,"217,536,138",Mystery
Alvin and the Chipmunks,92 min,5.2,39        ,81115,"217,326,974",Animation
Ant-Man and the Wasp,118 min,7.0,70        ,348887,"216,648,740",Action
Bohemian Rhapsody,134 min,7.9,49        ,491456,"216,428,042",Biography
