Title,Runtime,User Rating,Metascore,Votes,Imdb Gross,Genre
"Crouching Tiger, Hidden Dragon",120 min,7.8,94        ,261421,"128,078,872",Action
Shutter Island,138 min,8.2,63        ,1203809,"128,012,934",Mystery
Into the Woods,125 min,5.9,69        ,136977,"128,002,372",Adventure
Enchanted,107 min,7.0,75        ,188375,"127,807,262",Animation
The Curious Case of Benjamin Button,166 min,7.8,70        ,616752,"127,509,326",Drama
Central Intelligence,107 min,6.3,52        ,170721,"127,440,871",Action
Anchorman 2: The Legend Continues,119 min,6.3,61        ,174771,"127,352,707",Comedy            
Sweet Home Alabama,108 min,6.2,45        ,107716,"127,223,418",Comedy
Bumblebee,114 min,6.7,66        ,151879,"127,195,589",Action
2 Fast 2 Furious,107 min,5.9,38        ,263841,"127,154,901",Action
Super 8,112 min,7.0,72        ,346513,"127,004,179",Mystery
Lucy,89 min,6.4,61        ,469046,"126,663,600",Action
The Legend of Tarzan,110 min,6.2,44        ,170425,"126,643,061",Action
Bee Movie,91 min,6.1,54        ,151712,"126,631,277",Animation
Prometheus,124 min,7.0,64        ,586351,"126,477,084",Adventure
Safe House,115 min,6.7,52        ,215961,"126,373,434",Action
Mr. Deeds,96 min,5.8,24        ,140379,"126,293,452",Comedy
Erin Brockovich,131 min,7.4,73        ,187120,"125,595,205",Biography
Ocean's Twelve,125 min,6.5,58        ,373991,"125,544,280",Crime
Terminator Salvation,115 min,6.5,49        ,351865,"125,322,469",Action
Charlie's Angels,98 min,5.6,52        ,182594,"125,305,545",Action
Lone Survivor,121 min,7.5,60        ,276516,"125,095,601",Action
Sully,96 min,7.4,74        ,254876,"125,070,033",Biography
The Vow,104 min,6.8,43        ,189161,"125,014,030",Drama
Life of Pi,127 min,7.9,79        ,602130,"124,987,023",Adventure
The Fault in Our Stars,126 min,7.7,69        ,358616,"124,872,350",Drama
Cloudy with a Chance of Meatballs,90 min,6.9,66        ,217265,"124,870,275",Animation
The Devil Wears Prada,109 min,6.9,62        ,392072,"124,740,460",Comedy
Something's Gotta Give,128 min,6.7,66        ,116860,"124,728,738",Comedy
Traffic,147 min,7.6,86        ,202279,"124,115,725",Crime
Rango,107 min,7.2,75        ,249838,"123,477,607",Animation
Nutty Professor II: The Klumps,106 min,4.4,38        ,49999,"123,309,890",Comedy
The Good Dinosaur,93 min,6.7,66        ,108587,"123,087,120",Animation
G.I. Joe: Retaliation,110 min,5.8,41        ,178129,"122,523,060",Action
The Bourne Identity,119 min,7.9,68        ,525426,"121,661,683",Action
Superbad,113 min,7.6,76        ,545322,"121,463,226",Comedy            
50 First Dates,99 min,6.8,48        ,340057,"120,908,074",Comedy
Mamma Mia! Here We Go Again,114 min,6.6,60        ,87572,"120,634,935",Comedy
Inglourious Basterds,153 min,8.3,69        ,1340779,"120,540,719",Adventure
Janatha Garage,162 min,7.3,X,6543,"120,500,000",Action
Seabiscuit,140 min,7.3,72        ,70691,"120,277,854",Drama
Van Helsing,131 min,6.1,35        ,255277,"120,177,084",Action
Four Christmases,88 min,5.7,41        ,67878,"120,146,040",Comedy
I Now Pronounce You Chuck & Larry,115 min,5.9,37        ,144261,"120,059,556",Comedy
Cloudy with a Chance of Meatballs 2,95 min,6.4,59        ,96563,"119,793,567",Animation
Walk the Line,136 min,7.8,72        ,242302,"119,519,402",Biography
G-Force,88 min,5.1,41        ,44812,"119,436,770",Animation
The Other Guys,107 min,6.7,64        ,253772,"119,219,978",Action
Fahrenheit 9/11,122 min,7.5,67        ,128315,"119,194,771",Documentary
The Sum of All Fears,124 min,6.4,45        ,111245,"118,907,036",Action
Hairspray,117 min,6.7,81        ,124653,"118,871,849",Comedy
The Break-Up,106 min,5.8,45        ,129325,"118,703,275",Comedy
A Series of Unfortunate Events,108 min,6.8,62        ,202390,"118,627,117",Adventure
Blades of Glory,93 min,6.3,64        ,163463,"118,594,548",Comedy
Salt,100 min,6.4,65        ,305034,"118,311,368",Action
Now You See Me,115 min,7.2,50        ,623330,"117,723,989",Crime
Ford v Ferrari,152 min,8.1,81        ,339501,"117,624,028",Action
Big Momma's House,99 min,5.2,33        ,83452,"117,559,438",Action
Horrible Bosses,98 min,6.8,57        ,433653,"117,538,559",Comedy
The Nun,96 min,5.3,46        ,130957,"117,450,119",Horror
Jackass 3D,94 min,7.0,56        ,59810,"117,224,271",Documentary
Ocean's Thirteen,122 min,6.9,62        ,333314,"117,154,724",Crime
S.W.A.T.,117 min,6.0,45        ,143257,"116,934,650",Action
The Wolf of Wall Street,180 min,8.2,75        ,1275033,"116,900,694",Biography
8 Mile,110 min,7.1,77        ,266645,"116,724,075",Drama
The Butler,132 min,7.2,65        ,112094,"116,632,095",Biography
Green Lantern,114 min,5.5,39        ,276377,"116,601,172",Action
Ghost Rider,110 min,5.3,35        ,230417,"115,802,596",Action
Creed II,130 min,7.1,66        ,115223,"115,715,889",Drama
Remember the Titans,113 min,7.8,48        ,205714,"115,654,751",Biography
District 9,112 min,7.9,81        ,657142,"115,646,235",Action
Unbroken,137 min,7.2,59        ,158367,"115,637,895",Action
Peter Rabbit,95 min,6.6,51        ,39927,"115,253,424",Animation
Girls Trip,122 min,6.2,71        ,36288,"115,171,585",Adventure
Dumbo,112 min,6.3,51        ,71147,"114,766,307",Adventure
Fifty Shades Darker,118 min,4.6,33        ,96912,"114,376,885",Drama
Dodgeball: A True Underdog Story,92 min,6.7,55        ,238472,"114,326,736",Comedy
The Village,108 min,6.5,44        ,252097,"114,197,520",Drama
Bolt,96 min,6.8,67        ,199500,"114,053,579",Animation
Maleficent: Mistress of Evil,119 min,6.6,43        ,95227,"113,929,605",Adventure
Night at the Museum: Secret of the Tomb,98 min,6.2,47        ,114164,"113,746,621",Adventure
Magic Mike,110 min,6.1,72        ,135017,"113,721,571",Comedy
The Patriot,165 min,7.2,63        ,263541,"113,330,342",Action
Bad Moms,100 min,6.2,60        ,119511,"113,257,297",Comedy            
The Bourne Legacy,135 min,6.6,61        ,292947,"113,203,870",Action
The Pacifier,95 min,5.6,30        ,91439,"113,086,868",Action
Dr. Dolittle 2,87 min,4.7,49        ,44363,"112,952,899",Comedy
It's Complicated,120 min,6.5,57        ,89555,"112,735,375",Comedy
Spy Kids,88 min,5.5,71        ,113062,"112,719,001",Action
The Hangover Part III,100 min,5.8,30        ,303342,"112,200,072",Comedy
Spy Kids 3-D: Game Over,84 min,4.3,57        ,57860,"111,761,982",Action
Mr. Peabody & Sherman,92 min,6.8,59        ,66341,"111,506,430",Animation
The Last Samurai,154 min,7.7,55        ,417236,"111,110,575",Action
Glass,129 min,6.6,43        ,225566,"111,048,468",Drama
Spy,120 min,7.0,75        ,237880,"110,825,712",Action
Tropic Thunder,107 min,7.0,71        ,395907,"110,515,313",Action
Godzilla: King of the Monsters,132 min,6.0,48        ,167981,"110,500,138",Action
Valentine's Day,125 min,5.7,34        ,116948,"110,485,654",Comedy
The Grudge,91 min,5.9,49        ,142109,"110,359,362",Horror
Fun with Dick and Jane,90 min,6.2,47        ,141128,"110,332,737",Comedy
Freaky Friday,97 min,6.2,70        ,131815,"110,230,332",Comedy
Trainwreck,125 min,6.2,75        ,133860,"110,212,700",Comedy
Bedtime Stories,99 min,6.0,33        ,91604,"110,101,975",Adventure
Scary Movie 3,84 min,5.5,49        ,142484,"110,003,217",Comedy            
Creed,133 min,7.6,82        ,259644,"109,767,581",Drama
The 40-Year-Old Virgin,116 min,7.1,73        ,414737,"109,449,237",Comedy
Couples Retreat,113 min,5.5,23        ,105198,"109,205,660",Comedy            
Black Hawk Down,144 min,7.7,74        ,378670,"108,638,745",Drama
The Upside,126 min,7.0,46        ,52478,"108,252,517",Comedy
The Princess Diaries,115 min,6.4,52        ,135980,"108,248,956",Comedy
Little Women,135 min,7.8,91        ,168642,"108,101,214",Drama
Hop,95 min,5.4,41        ,33018,"108,085,305",Animation
Paranormal Activity,86 min,6.3,68        ,229247,"107,918,810",Horror
Baby Driver,113 min,7.6,86        ,481563,"107,825,862",Action
Epic,102 min,6.7,52        ,102764,"107,518,682",Animation
Watchmen,162 min,7.6,56        ,527973,"107,509,799",Action
Angry Birds,97 min,6.3,43        ,86352,"107,509,366",Animation
Captain Phillips,134 min,7.8,82        ,439480,"107,100,855",Adventure
Black Swan,108 min,8.0,79        ,726854,"106,954,678",Drama
Chicken Run,84 min,7.0,88        ,183774,"106,834,564",Animation
Miss Congeniality,109 min,6.3,43        ,197772,"106,807,667",Action
300: Rise of an Empire,102 min,6.2,48        ,289508,"106,580,051",Action
The Italian Job,111 min,7.0,68        ,354328,"106,128,601",Action
How to Lose a Guy in 10 Days,116 min,6.4,45        ,223048,"105,813,373",Comedy
The Lego Movie 2: The Second Part,107 min,6.6,65        ,60682,"105,806,508",Animation
Robin Hood,140 min,6.6,53        ,260729,"105,269,730",Action
Pitch Perfect 3,93 min,5.8,40        ,60217,"104,897,530",Comedy
American Wedding,96 min,6.3,43        ,200443,"104,565,114",Comedy            
Road to Perdition,117 min,7.7,72        ,257930,"104,454,762",Crime
The Princess and the Frog,97 min,7.1,73        ,133119,"104,400,899",Animation
The Chronicles of Narnia: The Voyage of the Dawn Treader,113 min,6.3,53        ,147780,"104,386,950",Adventure
Daddy Day Care,92 min,5.6,39        ,66371,"104,297,061",Comedy
Daddy's Home 2,100 min,6.0,30        ,67156,"104,029,443",Comedy            
Paranormal Activity 3,83 min,5.8,59        ,92707,"104,007,828",Horror
Journey 2: The Mysterious Island,94 min,5.8,41        ,98436,"103,860,290",Action
The Mule,116 min,7.0,58        ,127152,"103,804,407",Crime
Rise of the Guardians,97 min,7.3,58        ,164467,"103,412,758",Animation
Dreamgirls,130 min,6.5,76        ,71911,"103,365,956",Drama
Independence Day: Resurgence,120 min,5.2,32        ,173234,"103,144,286",Action
The Expendables,103 min,6.5,45        ,335501,"103,068,524",Action
Just Go with It,117 min,6.4,33        ,231293,"103,028,109",Comedy
Murder on the Orient Express,114 min,6.5,52        ,225373,"102,826,543",Crime
The Aviator,170 min,7.5,77        ,347091,"102,608,827",Biography
Daredevil,103 min,5.3,42        ,213277,"102,543,520",Action
The Girl with the Dragon Tattoo,158 min,7.8,71        ,442285,"102,515,793",Crime
The Mummy: Tomb of the Dragon Emperor,112 min,5.2,31        ,155852,"102,491,776",Action
The Conjuring 2,134 min,7.3,65        ,250519,"102,470,008",Horror
The Maze Runner,113 min,6.8,57        ,439322,"102,427,862",Action
Annabelle: Creation,109 min,6.5,62        ,124097,"102,092,201",Horror
The Equalizer 2,121 min,6.7,50        ,146454,"102,084,362",Action
Bad Grandpa,92 min,6.5,54        ,91802,"102,003,019",Comedy            
Pacific Rim,131 min,6.9,65        ,481592,"101,802,906",Action
Journey to the Center of the Earth,93 min,5.8,57        ,118059,"101,704,370",Action
Gone in 60 Seconds,118 min,6.5,35        ,268852,"101,648,571",Action
The Equalizer,132 min,7.2,57        ,351895,"101,530,738",Action
This Is the End,107 min,6.6,67        ,396598,"101,470,202",Comedy            
Noah,138 min,5.7,68        ,249364,"101,200,044",Action
The Cat in the Hat,82 min,4.0,19        ,80025,"101,149,285",Adventure
Eagle Eye,118 min,6.6,43        ,182479,"101,111,837",Action
Rampage,107 min,6.1,45        ,155664,"101,028,233",Action
Collateral,120 min,7.5,71        ,380909,"101,005,703",Crime
Charlie's Angels: Full Throttle,106 min,4.9,48        ,125231,"100,830,111",Action
Vanilla Sky,136 min,6.9,45        ,256409,"100,614,858",Fantasy
Arrival,116 min,7.9,81        ,640392,"100,546,139",Drama
Due Date,95 min,6.5,51        ,333384,"100,539,043",Comedy
Million Dollar Baby,132 min,8.1,86        ,660108,"100,492,203",Drama
A Wrinkle in Time,109 min,4.2,53        ,43312,"100,478,608",Adventure
Step Brothers,98 min,6.9,51        ,279704,"100,468,793",Comedy            
Evan Almighty,96 min,5.4,37        ,143499,"100,462,298",Comedy
Fifty Shades Freed,105 min,4.5,31        ,60756,"100,407,760",Drama
Bad Teacher,92 min,5.6,47        ,198572,"100,292,856",Comedy
Yogi Bear,80 min,4.6,35        ,21309,"100,246,011",Animation
Cowboys & Aliens,119 min,6.0,50        ,214622,"100,240,551",Action
Kingsman: The Golden Circle,141 min,6.7,44        ,294320,"100,234,838",Action
Edge of Tomorrow,113 min,7.9,71        ,634625,"100,206,256",Action
The Addams Family,86 min,5.8,46        ,34288,"100,044,905",Animation
You Don't Mess with the Zohan,113 min,5.5,54        ,196276,"100,018,837",Comedy            
Passengers,116 min,7.0,41        ,374595,"100,014,699",Drama
Gnomeo & Juliet,84 min,5.9,53        ,54281,"99,967,670",Animation
Christopher Robin,104 min,7.3,60        ,73427,"99,215,042",Animation
Olympus Has Fallen,119 min,6.5,41        ,266685,"98,925,640",Action
The Green Hornet,119 min,5.8,39        ,158309,"98,780,042",Action
Date Night,88 min,6.3,56        ,157380,"98,711,404",Comedy
Meet the Robinsons,95 min,6.8,61        ,93216,"97,822,171",Animation
Yes Man,104 min,6.8,46        ,348064,"97,690,976",Comedy
Sausage Party,89 min,6.1,66        ,184669,"97,685,686",Animation
Public Enemies,140 min,7.0,70        ,291053,"97,104,620",Action
The Social Network,120 min,7.7,95        ,657802,"96,962,694",Biography
Downton Abbey,122 min,7.4,64        ,46582,"96,854,135",Drama
The Others,104 min,7.6,74        ,352154,"96,522,687",Horror
Legally Blonde,96 min,6.4,59        ,201190,"96,520,674",Comedy
Panic Room,112 min,6.8,65        ,269997,"96,397,334",Crime
Rocketman,121 min,7.3,69        ,159574,"96,368,160",Biography
Zero Dark Thirty,157 min,7.4,95        ,286391,"95,720,716",Drama
Norbit,102 min,4.1,27        ,71997,"95,673,607",Comedy
Cold Mountain,154 min,7.2,73        ,144296,"95,636,509",Adventure
Sex and the City 2,146 min,4.5,27        ,76780,"95,347,692",Comedy
The Princess Diaries 2: Royal Engagement,113 min,5.8,43        ,77555,"95,170,481",Comedy
Unbreakable,106 min,7.3,62        ,402297,"95,011,339",Drama
42,128 min,7.5,62        ,90735,"95,001,343",Biography
The Book of Eli,118 min,6.9,53        ,304890,"94,835,059",Action
"10,000 BC",109 min,5.1,34        ,128207,"94,784,201",Action
Beverly Hills Chihuahua,91 min,3.8,41        ,23739,"94,514,402",Adventure
Julie & Julia,123 min,7.0,66        ,114041,"94,125,426",Biography
Maid in Manhattan,105 min,5.3,45        ,86979,"94,011,225",Comedy
He's Just Not That Into You,129 min,6.4,47        ,167204,"93,953,653",Comedy
Master and Commander: The Far Side of the World,138 min,7.4,81        ,212182,"93,927,920",Action
Flight,138 min,7.3,76        ,339180,"93,772,375",Drama
The Fighter,116 min,7.8,79        ,352493,"93,617,009",Biography
America's Sweethearts,102 min,5.7,44        ,57033,"93,607,673",Comedy
The Bucket List,97 min,7.4,42        ,238367,"93,466,502",Adventure
Tomorrowland,130 min,6.4,60        ,177739,"93,436,322",Action
The Magnificent Seven,132 min,6.9,54        ,200337,"93,432,655",Action
Cats & Dogs,87 min,5.1,47        ,58325,"93,385,515",Action
Space Station 3D,47 min,7.4,69        ,1664,"93,374,295",Documentary            
Two Weeks Notice,101 min,6.2,42        ,113721,"93,354,851",Comedy
Red Dragon,124 min,7.2,60        ,262908,"93,149,898",Crime
Elysium,109 min,6.6,61        ,432623,"93,050,117",Action
The Town,125 min,7.5,74        ,369509,"92,186,262",Crime
Non-Stop,106 min,6.9,56        ,257699,"92,168,600",Action
Blade Runner 2049,164 min,8.0,81        ,506481,"92,054,159",Action
John Wick: Chapter 2,122 min,7.5,75        ,396882,"92,029,184",Action
Think Like a Man,122 min,6.5,51        ,45622,"91,547,205",Comedy
Heaven Is for Real,99 min,5.8,47        ,26574,"91,443,253",Biography
Ride Along 2,102 min,5.9,32        ,56083,"91,221,830",Action
The Imitation Game,114 min,8.0,71        ,721173,"91,125,683",Biography
Save the Last Dance,112 min,6.2,53        ,59804,"91,057,006",Drama
The Scorpion King,92 min,5.5,45        ,134664,"91,047,077",Action
Prince of Persia: The Sands of Time,116 min,6.6,50        ,280304,"90,759,676",Action
Scary Movie 4,83 min,5.1,40        ,117576,"90,710,620",Comedy            
The Game Plan,110 min,6.1,44        ,62199,"90,648,202",Comedy
"Me, Myself & Irene",116 min,6.6,49        ,230526,"90,570,999",Comedy            
High School Musical 3: Senior Year,112 min,4.9,57        ,60483,"90,559,416",Comedy
Madea Goes to Jail,103 min,4.5,50        ,11829,"90,485,233",Comedy
Space Cowboys,130 min,6.5,73        ,78442,"90,464,773",Action
Get Hard,100 min,6.0,34        ,129609,"90,411,453",Comedy
RED,111 min,7.0,60        ,299418,"90,380,162",Action
Planes,91 min,5.7,39        ,43852,"90,288,712",Animation
Legally Blonde 2,95 min,4.8,47        ,64354,"90,186,328",Comedy            
Mystic River,138 min,7.9,84        ,438549,"90,135,191",Crime
Terminator Genisys,126 min,6.3,38        ,268440,"89,760,956",Action
Flightplan,98 min,6.3,53        ,157508,"89,707,299",Drama
The Emperor's New Groove,78 min,7.4,70        ,190853,"89,302,687",Animation
The Lone Ranger,150 min,6.4,37        ,227829,"89,302,115",Action
Taken 3,108 min,6.0,26        ,185925,"89,256,424",Action
Don't Breathe,88 min,7.1,71        ,253543,"89,217,875",Crime
Scream 3,116 min,5.6,56        ,129892,"89,138,076",Horror
Oblivion,124 min,7.0,54        ,503282,"89,021,735",Action
The Ugly Truth,96 min,6.4,28        ,211383,"88,915,214",Comedy
Percy Jackson & the Olympians: The Lightning Thief,118 min,5.9,47        ,182863,"88,761,720",Adventure
Failure to Launch,97 min,5.6,47        ,77713,"88,715,192",Comedy
The Muppets,103 min,7.1,75        ,90129,"88,631,237",Adventure
Inside Man,129 min,7.6,76        ,355311,"88,513,495",Crime
Starsky & Hutch,101 min,6.1,55        ,143205,"88,237,754",Comedy
Along Came Polly,90 min,6.0,44        ,131948,"88,097,164",Comedy
Pineapple Express,111 min,6.9,64        ,326827,"87,341,380",Action
Miss Peregrine's Home for Peculiar Children,127 min,6.7,57        ,163756,"87,242,834",Adventure
Sisters,118 min,6.0,58        ,65114,"87,044,645",Comedy            
Saw II,93 min,6.6,40        ,243057,"87,039,965",Horror
The Campaign,85 min,6.1,50        ,127965,"86,907,746",Comedy            
The Accountant,128 min,7.3,51        ,278779,"86,260,045",Action
Dumb and Dumber to,109 min,5.6,36        ,133283,"86,208,010",Comedy            
The Emoji Movie,86 min,3.3,12        ,60508,"86,089,513",Animation
Mean Girls,97 min,7.0,66        ,357374,"86,058,055",Comedy            
Annie,118 min,5.3,33        ,36406,"85,911,262",Comedy
Alvin and the Chipmunks: The Road Chip,92 min,5.0,33        ,18416,"85,886,987",Animation
Spy Kids 2: Island of Lost Dreams,100 min,5.2,66        ,64976,"85,846,429",Action
Fury,134 min,7.6,64        ,452949,"85,817,906",Action
Alita: Battle Angel,122 min,7.3,53        ,248655,"85,710,210",Action
Real Steel,127 min,7.0,56        ,311936,"85,468,508",Action
The SpongeBob SquarePants Movie,87 min,7.1,66        ,85328,"85,417,988",Animation
Power Rangers,124 min,5.9,44        ,105130,"85,364,450",Action
Brother Bear,85 min,6.8,48        ,103471,"85,336,277",Animation
Anchorman: The Legend of Ron Burgundy,94 min,7.2,63        ,341268,"85,288,303",Comedy            
Open Season,86 min,6.1,49        ,91449,"85,105,259",Animation
Green Book,130 min,8.2,69        ,431179,"85,080,171",Biography
The Expendables 2,103 min,6.6,51        ,299634,"85,017,401",Action
Paranormal Activity 2,91 min,5.7,53        ,101450,"84,752,907",Horror
Tammy,97 min,4.9,39        ,50274,"84,525,432",Comedy
The Santa Clause 3: The Escape Clause,92 min,4.8,32        ,35023,"84,500,122",Adventure
Ferdinand,108 min,6.8,58        ,53041,"84,410,380",Animation
Dolphins,39 min,7.2,X,497,"84,400,000",Documentary
"Crazy, Stupid, Love.",118 min,7.4,68        ,493678,"84,351,197",Comedy
Annabelle,99 min,5.4,37        ,150917,"84,273,813",Horror
Scooby-Doo 2: Monsters Unleashed,93 min,5.1,34        ,53750,"84,216,833",Adventure
Birds of Prey,109 min,6.1,60        ,212026,"84,158,461",Action
Atlantis: The Lost Empire,95 min,6.9,52        ,111738,"84,052,762",Animation
The Other Woman,109 min,6.0,39        ,135515,"83,911,193",Comedy
Up in the Air,109 min,7.4,83        ,327054,"83,823,381",Comedy
Wrath of the Titans,99 min,5.7,37        ,185594,"83,670,083",Action
Insidious: Chapter 2,106 min,6.6,40        ,163353,"83,586,447",Horror
Battle Los Angeles,116 min,5.7,37        ,177495,"83,552,429",Action
Immortals,110 min,6.0,46        ,164791,"83,504,017",Action
I Can Only Imagine,110 min,7.4,30        ,15457,"83,482,352",Biography
Penguins of Madagascar,92 min,6.7,53        ,85281,"83,348,920",Animation
Saving Mr. Banks,125 min,7.5,65        ,156996,"83,301,580",Biography
Smallfoot,96 min,6.6,60        ,37121,"83,240,103",Animation
Valkyrie,121 min,7.1,56        ,235469,"83,077,833",Drama
Brokeback Mountain,134 min,7.7,87        ,339800,"83,043,761",Drama
Turbo,96 min,6.4,58        ,90734,"83,028,128",Animation
Charlotte's Web,97 min,6.3,68        ,39792,"82,985,708",Adventure
Monster-in-Law,101 min,5.6,31        ,58959,"82,931,301",Comedy
Are We There Yet?,95 min,4.7,27        ,31020,"82,674,398",Adventure
Freddy vs. Jason,97 min,5.7,37        ,115276,"82,622,655",Action
The Descendants,115 min,7.3,84        ,237180,"82,584,160",Comedy
Cheaper by the Dozen 2,94 min,5.5,34        ,56966,"82,571,173",Adventure
Let's Be Cops,104 min,6.4,30        ,130789,"82,390,774",Action
Blade II,117 min,6.7,52        ,208321,"82,348,319",Action
Bridge to Terabithia,96 min,7.2,74        ,149624,"82,272,442",Drama
The Pink Panther,93 min,5.7,38        ,84308,"82,226,474",Adventure
Beowulf,115 min,6.2,59        ,165230,"82,161,969",Animation
Teenage Mutant Ninja Turtles: Out of the Shadows,112 min,6.0,40        ,88507,"82,051,601",Action
The Post,116 min,7.2,83        ,143995,"81,903,458",Drama            
Maze Runner: The Scorch Trials,131 min,6.3,43        ,235319,"81,697,192",Action
Eight Below,120 min,7.3,64        ,63209,"81,612,565",Adventure
Unstoppable,98 min,6.8,69        ,191619,"81,562,942",Action
Ted 2,115 min,6.3,48        ,195802,"81,476,385",Comedy            
School of Rock,109 min,7.1,82        ,292389,"81,261,177",Comedy
Snow Dogs,99 min,5.2,29        ,26235,"81,172,560",Adventure
21,123 min,6.8,48        ,239055,"81,159,365",Crime
The Notebook,123 min,7.8,53        ,542836,"81,001,787",Drama
Jimmy Neutron: Boy Genius,82 min,6.0,65        ,32805,"80,936,232",Animation
Eat Pray Love,133 min,5.8,50        ,93362,"80,574,010",Biography
The Texas Chainsaw Massacre,98 min,6.2,38        ,135862,"80,571,655",Crime
Hustlers,110 min,6.3,79        ,91523,"80,553,967",Comedy
Zookeeper,102 min,5.2,30        ,59534,"80,360,843",Comedy
Alien vs. Predator,101 min,5.6,29        ,191133,"80,282,231",Action
What Happens in Vegas,99 min,6.1,36        ,170174,"80,277,646",Comedy
The Dukes of Hazzard,104 min,5.1,33        ,77429,"80,270,227",Comedy            
Saw III,108 min,6.2,48        ,186549,"80,238,724",Crime
Disturbia,105 min,6.8,62        ,229636,"80,209,692",Crime
Nacho Libre,92 min,5.8,52        ,84891,"80,197,993",Comedy
Jumper,88 min,6.1,35        ,296444,"80,172,128",Action
The Mummy,110 min,5.4,34        ,179957,"80,101,125",Action
Goosebumps,103 min,6.3,60        ,84911,"80,080,379",Adventure
Jack Reacher,130 min,7.0,50        ,322215,"80,070,736",Action
Cloverfield,85 min,7.0,64        ,384424,"80,048,433",Action
Dear John,108 min,6.3,43        ,144011,"80,014,842",Drama
Men in Black: International,114 min,5.6,38        ,123883,"80,001,807",Action
Knowing,121 min,6.2,41        ,227612,"79,957,634",Action
War Horse,146 min,7.2,72        ,152383,"79,884,879",Action
Dark Shadows,113 min,6.2,55        ,256045,"79,727,149",Comedy
Hannah Montana: The Movie,102 min,4.6,47        ,41282,"79,566,871",Comedy
The Day the Earth Stood Still,104 min,5.5,40        ,167063,"79,366,978",Drama
Limitless,105 min,7.4,59        ,546823,"79,249,455",Sci-Fi
The Purge: Election Year,108 min,6.0,55        ,95880,"79,213,375",Action
Pixels,105 min,5.5,27        ,137580,"78,747,585",Animation
A.I. Artificial Intelligence,146 min,7.2,65        ,299051,"78,616,689",Drama
We Were Soldiers,138 min,7.2,65        ,135753,"78,122,718",Action
Tower Heist,104 min,6.2,59        ,138843,"78,046,570",Action
The Monuments Men,118 min,6.1,52        ,128562,"78,031,620",Comedy
Man on Fire,146 min,7.7,47        ,346441,"77,911,774",Action
The Terminal,128 min,7.4,55        ,430534,"77,872,883",Comedy
Gangs of New York,167 min,7.5,72        ,421982,"77,812,000",Crime
The Adventures of Tintin,107 min,7.3,68        ,223846,"77,591,831",Animation
March of the Penguins,80 min,7.5,79        ,57214,"77,437,223",Documentary
Night School,111 min,5.6,43        ,38811,"77,339,130",Comedy            
Parental Guidance,105 min,6.0,36        ,25507,"77,267,296",Comedy
Where the Wild Things Are,101 min,6.7,71        ,102980,"77,233,467",Adventure
The A-Team,117 min,6.7,47        ,252729,"77,222,099",Action
U-571,116 min,6.6,62        ,80504,"77,086,030",Action
Dolittle,101 min,5.6,26        ,55690,"77,047,065",Adventure
Alice Through the Looking Glass,113 min,6.2,34        ,100649,"77,042,381",Adventure
27 Dresses,111 min,6.1,47        ,159142,"76,808,654",Comedy
Training Day,122 min,7.7,69        ,411462,"76,631,907",Crime
Rugrats in Paris,78 min,6.2,62        ,12031,"76,507,756",Animation
Knight and Day,109 min,6.3,46        ,187255,"76,423,035",Action
Paddington,95 min,7.3,77        ,105812,"76,271,832",Animation
Pete's Dragon,102 min,6.7,71        ,56484,"76,233,151",Action
The Ring Two,110 min,5.4,44        ,94057,"76,231,249",Horror
Constantine,121 min,7.0,50        ,323593,"75,976,178",Action
The Haunted Mansion,88 min,5.1,34        ,46846,"75,847,266",Comedy
The Family Man,125 min,6.8,42        ,106703,"75,793,305",Comedy
Barbershop,102 min,6.3,66        ,30616,"75,782,105",Comedy
The Intern,121 min,7.1,51        ,237779,"75,764,672",Comedy
Hellboy II: The Golden Army,120 min,7.0,78        ,263089,"75,754,670",Action
Contagion,106 min,6.8,70        ,293741,"75,658,097",Drama
"You, Me and Dupree",110 min,5.6,46        ,80201,"75,628,110",Comedy
We Bought a Zoo,124 min,7.1,58        ,139503,"75,624,550",Comedy
2 Guns,109 min,6.7,55        ,204544,"75,612,460",Action
Moneyball,133 min,7.6,87        ,393522,"75,605,492",Biography
The Rookie,127 min,6.9,72        ,33835,"75,600,072",Drama
Zombieland,88 min,7.6,73        ,544817,"75,590,286",Adventure
Old School,88 min,7.1,54        ,223274,"75,585,093",Comedy            
The Hitman's Bodyguard,118 min,6.9,47        ,214251,"75,468,583",Action
The Girl on the Train,112 min,6.5,48        ,179270,"75,395,035",Crime
Garfield,80 min,5.0,27        ,83113,"75,369,589",Animation
Ray,152 min,7.7,73        ,143329,"75,331,600",Biography
Coraline,100 min,7.7,80        ,210248,"75,286,229",Animation
The Exorcism of Emily Rose,119 min,6.7,46        ,124746,"75,072,454",Drama
Eragon,104 min,5.1,38        ,124379,"75,030,163",Action
Ladder 49,115 min,6.5,47        ,57164,"74,541,707",Action
Four Brothers,109 min,6.8,49        ,140294,"74,494,381",Action
No Country for Old Men,122 min,8.1,91        ,905882,"74,283,625",Crime
Alien: Covenant,122 min,6.4,65        ,266887,"74,262,031",Horror
Jack and Jill,91 min,3.3,23        ,81490,"74,158,157",Comedy            
Annabelle Comes Home,106 min,5.9,53        ,68110,"74,152,591",Horror
Sin City,124 min,8.0,74        ,751176,"74,103,820",Crime
Along Came a Spider,104 min,6.4,42        ,81655,"74,078,174",Drama
Captain Underpants: The First Epic Movie,89 min,6.2,69        ,26721,"73,921,000",Animation
