Filename,URL,Array Mean,Z-Score for Mean,shape,Inlier
ecu-per-00031.jpeg,https://facultyweb.cs.wwu.edu/~wehrwes/courses/data311_21f/data/ecu-per/ecu-per-00031.jpeg,60.264567057291664,-0.48416174423948677,"(64, 64, 3)",True
ecu-per-00032.jpeg,https://facultyweb.cs.wwu.edu/~wehrwes/courses/data311_21f/data/ecu-per/ecu-per-00032.jpeg,136.95987955729166,0.5268966437731315,"(64, 64, 3)",True
ecu-per-00033.jpeg,https://facultyweb.cs.wwu.edu/~wehrwes/courses/data311_21f/data/ecu-per/ecu-per-00033.jpeg,77.43619791666667,-0.25779169827054405,"(64, 64, 3)",True
ecu-per-00034.jpeg,https://facultyweb.cs.wwu.edu/~wehrwes/courses/data311_21f/data/ecu-per/ecu-per-00034.jpeg,72.19580078125,-0.3268747661605187,"(64, 64, 3)",True
ecu-per-00035.jpeg,https://facultyweb.cs.wwu.edu/~wehrwes/courses/data311_21f/data/ecu-per/ecu-per-00035.jpeg,83.47696940104167,-0.1781574614409493,"(64, 64, 3)",True
ecu-per-00036.jpeg,https://facultyweb.cs.wwu.edu/~wehrwes/courses/data311_21f/data/ecu-per/ecu-per-00036.jpeg,69.22257486979167,-0.36607018631395255,"(64, 64, 3)",True
ecu-per-00037.jpeg,https://facultyweb.cs.wwu.edu/~wehrwes/courses/data311_21f/data/ecu-per/ecu-per-00037.jpeg,62.974609375,-0.44843581878363614,"(64, 64, 3)",True
ecu-per-00038.jpeg,https://facultyweb.cs.wwu.edu/~wehrwes/courses/data311_21f/data/ecu-per/ecu-per-00038.jpeg,71.96516927083333,-0.3299151334990936,"(64, 64, 3)",True
ecu-per-00039.jpeg,https://facultyweb.cs.wwu.edu/~wehrwes/courses/data311_21f/data/ecu-per/ecu-per-00039.jpeg,79.48299153645833,-0.23080924275449063,"(64, 64, 3)",True
ecu-per-00040.jpeg,https://facultyweb.cs.wwu.edu/~wehrwes/courses/data311_21f/data/ecu-per/ecu-per-00040.jpeg,75.162841796875,-0.28776088020529644,"(64, 64, 3)",True
ecu-per-00041.jpeg,https://facultyweb.cs.wwu.edu/~wehrwes/courses/data311_21f/data/ecu-per/ecu-per-00041.jpeg,81.97745768229167,-0.19792521323367332,"(64, 64, 3)",True
ecu-per-00042.jpeg,https://facultyweb.cs.wwu.edu/~wehrwes/courses/data311_21f/data/ecu-per/ecu-per-00042.jpeg,76.63069661458333,-0.26841045476920816,"(64, 64, 3)",True
ecu-per-00043.jpeg,https://facultyweb.cs.wwu.edu/~wehrwes/courses/data311_21f/data/ecu-per/ecu-per-00043.jpeg,108.08219401041667,0.14620810823116195,"(64, 64, 3)",True
ecu-per-00044.jpeg,https://facultyweb.cs.wwu.edu/~wehrwes/courses/data311_21f/data/ecu-per/ecu-per-00044.jpeg,85.897705078125,-0.1462454053882863,"(64, 64, 3)",True
ecu-per-00045.jpeg,https://facultyweb.cs.wwu.edu/~wehrwes/courses/data311_21f/data/ecu-per/ecu-per-00045.jpeg,98.66292317708333,0.02203581562847803,"(64, 64, 3)",True
ecu-per-00046.jpeg,https://facultyweb.cs.wwu.edu/~wehrwes/courses/data311_21f/data/ecu-per/ecu-per-00046.jpeg,103.28987630208333,0.08303197843793848,"(64, 64, 3)",True
ecu-per-00047.jpeg,https://facultyweb.cs.wwu.edu/~wehrwes/courses/data311_21f/data/ecu-per/ecu-per-00047.jpeg,82.45987955729167,-0.19156554577316817,"(64, 64, 3)",True
